avg_util_cap_per_alg,avg_util_cap_true,avg_util_per_alg,avg_util_true,dataset,demand_capacity_ratio,evac_time_per_alg,evac_time_true,gamma_setting,id,model,number_updates,random_seed,update_interval,variance_factor
0.9195307917888563,0.9195307917888563,0.2583508123084528,0.2583508123084528,small,2.0,216.23373949614063,216.23373949614063,,D-ICEP BENCHMARK_0.2_60.0_2.0_125.0_None,D-ICEP BENCHMARK,2.0,125.0,60.0,0.2
0.8482789651293589,0.7764406852989529,0.2582196338900866,0.26243741079742083,small,2.0,194.7329773818976,261.1368923953401,,D-ICEP_0.2_60.0_2.0_125.0_None,D-ICEP,2.0,125.0,60.0,0.2
0.9258874458874459,0.9258874458874459,0.35963270993666474,0.35963270993666474,small,2.0,171.63695489602193,171.63695489602193,,D-ICEP BENCHMARK_0.6_15.0_8.0_127.0_None,D-ICEP BENCHMARK,8.0,127.0,15.0,0.6
0.9071476574500767,0.8308199831875854,0.279628609932222,0.31313332228652313,small,2.0,149.28627082279874,215.69018583624128,,D-ICEP_0.6_15.0_8.0_127.0_None,D-ICEP,8.0,127.0,15.0,0.6
0.9502249718785152,0.9502249718785152,0.46165787139183057,0.46165787139183057,small,4.0,297.26398705673193,297.26398705673193,,D-ICEP BENCHMARK_0.4_60.0_4.0_125.0_None,D-ICEP BENCHMARK,4.0,125.0,60.0,0.4
0.8870570866141732,0.8686225363133956,0.4547386270840527,0.4453500084556092,small,4.0,271.1281748711337,383.955368321269,,D-ICEP_0.4_60.0_4.0_125.0_None,D-ICEP,4.0,125.0,60.0,0.4
0.9401492782152232,0.9401492782152232,0.19128465003243372,0.19128465003243372,small,3.0,336.4904183797239,336.4904183797239,,D-ICEP BENCHMARK_0.4_15.0_12.0_127.0_None,D-ICEP BENCHMARK,12.0,127.0,15.0,0.4
0.86247311827957,0.8436198835360633,0.19658359007295717,0.21000170417548086,small,3.0,220.5971466255324,395.8483182356098,,D-ICEP_0.4_15.0_12.0_127.0_None,D-ICEP,12.0,127.0,15.0,0.4
0.9421279761904762,0.9421279761904762,0.4766721178053852,0.4766721178053852,small,3.0,274.9595854138328,274.9595854138328,,D-ICEP BENCHMARK_0.6_60.0_3.0_126.0_None,D-ICEP BENCHMARK,3.0,126.0,60.0,0.6
0.8794934115378436,0.8386800608257301,0.5160681388258641,0.4331285839440023,small,3.0,228.660169095666,341.4873625458014,,D-ICEP_0.6_60.0_3.0_126.0_None,D-ICEP,3.0,126.0,60.0,0.6
0.9258874458874459,0.9258874458874459,0.35963270993666474,0.35963270993666474,small,2.0,171.63695489602193,171.63695489602193,,D-ICEP BENCHMARK_0.2_30.0_4.0_127.0_None,D-ICEP BENCHMARK,4.0,127.0,30.0,0.2
0.8504283839520059,0.7623808081682097,0.346158514356068,0.33677677023959735,small,2.0,159.0335119795564,247.20245177740057,,D-ICEP_0.2_30.0_4.0_127.0_None,D-ICEP,4.0,127.0,30.0,0.2
0.9665898617511521,0.9665898617511521,0.5478416072689175,0.5478416072689175,small,4.0,302.93435853883216,302.93435853883216,,D-ICEP BENCHMARK_0.4_15.0_16.0_123.0_None,D-ICEP BENCHMARK,16.0,123.0,15.0,0.4
0.893598344849751,0.9060205542489008,0.4830486760142619,0.4955313670745589,small,4.0,211.07012315756333,377.0722436344042,,D-ICEP_0.4_15.0_16.0_123.0_None,D-ICEP,16.0,123.0,15.0,0.4
0.9446813791133253,0.9446813791133253,0.4921864656871648,0.4921864656871648,small,4.0,282.51834451839454,282.51834451839454,,D-ICEP BENCHMARK_0.4_30.0_8.0_126.0_None,D-ICEP BENCHMARK,8.0,126.0,30.0,0.4
0.9279262672811059,0.8745632137848126,0.501852721707742,0.5119782718145698,small,4.0,274.9595854138328,323.5238504064312,,D-ICEP_0.4_30.0_8.0_126.0_None,D-ICEP,8.0,126.0,30.0,0.4
0.9556477214541731,0.9556477214541731,0.46184174164455516,0.46184174164455516,small,4.0,276.17744385938823,276.17744385938823,,D-ICEP BENCHMARK_0.4_15.0_16.0_124.0_None,D-ICEP BENCHMARK,16.0,124.0,15.0,0.4
0.9025170677590033,0.9004988828375925,0.42132748545376053,0.4556464792136111,small,4.0,240.75021100333004,328.1317067595995,,D-ICEP_0.4_15.0_16.0_124.0_None,D-ICEP,16.0,124.0,15.0,0.4
0.8493548387096773,0.8493548387096773,0.48073287378252144,0.48073287378252144,small,2.0,211.07012315756333,211.07012315756333,,D-ICEP BENCHMARK_0.6_15.0_8.0_126.0_None,D-ICEP BENCHMARK,8.0,126.0,15.0,0.6
0.7911577719451736,0.7770341207349082,0.4043129624959289,0.4178630651906142,small,2.0,177.30051006078375,242.33132174383007,,D-ICEP_0.6_15.0_8.0_126.0_None,D-ICEP,8.0,126.0,15.0,0.6
0.9556477214541731,0.9556477214541731,0.46184174164455516,0.46184174164455516,small,4.0,276.17744385938823,276.17744385938823,,D-ICEP BENCHMARK_0.4_60.0_4.0_124.0_None,D-ICEP BENCHMARK,4.0,124.0,60.0,0.4
0.9072160296999165,0.86337038953581,0.5096095932878377,0.42561540376305806,small,4.0,229.9842235021344,352.8271934501354,,D-ICEP_0.4_60.0_4.0_124.0_None,D-ICEP,4.0,124.0,60.0,0.4
0.9421279761904762,0.9421279761904762,0.4766721178053852,0.4766721178053852,small,3.0,274.9595854138328,274.9595854138328,,D-ICEP BENCHMARK_0.4_15.0_12.0_126.0_None,D-ICEP BENCHMARK,12.0,126.0,15.0,0.4
0.9497196504283119,0.8805636036482156,0.45738494666424706,0.44564352959868614,small,3.0,228.660169095666,316.8291088935101,,D-ICEP_0.4_15.0_12.0_126.0_None,D-ICEP,12.0,126.0,15.0,0.4
0.9665898617511521,0.9665898617511521,0.5478416072689175,0.5478416072689175,small,4.0,302.93435853883216,302.93435853883216,,D-ICEP BENCHMARK_0.4_60.0_4.0_123.0_None,D-ICEP BENCHMARK,4.0,123.0,60.0,0.4
0.9269366862823363,0.9109029965462528,0.5984196770155192,0.5175659796996488,small,4.0,274.7120417532983,341.11595676674085,,D-ICEP_0.4_60.0_4.0_123.0_None,D-ICEP,4.0,123.0,60.0,0.4
0.8508134920634921,0.8508134920634921,0.4076413075623243,0.4076413075623243,small,2.0,213.58572208347636,213.58572208347636,,D-ICEP BENCHMARK_0.2_60.0_2.0_123.0_None,D-ICEP BENCHMARK,2.0,123.0,60.0,0.2
0.7905809244518921,0.6769539170506912,0.4056248549719411,0.39144703189759145,small,2.0,195.186434758995,308.0136282091304,,D-ICEP_0.2_60.0_2.0_123.0_None,D-ICEP,2.0,123.0,60.0,0.2
0.9151598278954135,0.9151598278954135,0.4463603892567579,0.4463603892567579,small,2.0,182.9694212175312,182.9694212175312,,D-ICEP BENCHMARK_0.2_60.0_2.0_124.0_None,D-ICEP BENCHMARK,2.0,124.0,60.0,0.2
0.8318383952006,0.7633401811125966,0.41925474214406255,0.3905694787312536,small,2.0,171.41187177113204,259.5808115689762,,D-ICEP_0.2_60.0_2.0_124.0_None,D-ICEP,2.0,124.0,60.0,0.2
0.9502249718785152,0.9502249718785152,0.46165787139183057,0.46165787139183057,small,4.0,297.26398705673193,297.26398705673193,,D-ICEP BENCHMARK_0.4_15.0_16.0_125.0_None,D-ICEP BENCHMARK,16.0,125.0,15.0,0.4
0.9464728919253756,0.9522631070885726,0.38413666943931374,0.37984762687777535,small,4.0,207.33852703868573,369.5811117035048,,D-ICEP_0.4_15.0_16.0_125.0_None,D-ICEP,16.0,125.0,15.0,0.4
0.998985945305224,0.998985945305224,0.4100974477067011,0.4100974477067011,small,4.0,274.9595854138328,274.9595854138328,,D-ICEP BENCHMARK_0.4_30.0_8.0_127.0_None,D-ICEP BENCHMARK,8.0,127.0,30.0,0.4
0.9407529527559055,0.9076737017110397,0.37731030469976623,0.3397957995494672,small,4.0,210.0180204026481,352.8271934501354,,D-ICEP_0.4_30.0_8.0_127.0_None,D-ICEP,8.0,127.0,30.0,0.4
0.8493548387096773,0.8493548387096773,0.48073287378252144,0.48073287378252144,small,2.0,211.07012315756333,211.07012315756333,,D-ICEP BENCHMARK_0.2_30.0_4.0_126.0_None,D-ICEP BENCHMARK,4.0,126.0,30.0,0.2
0.8067022762184053,0.7197514812376564,0.4576978226606621,0.4857145336667338,small,2.0,197.15808929874828,254.9828676311836,,D-ICEP_0.2_30.0_4.0_126.0_None,D-ICEP,4.0,126.0,30.0,0.2
0.9401492782152232,0.9401492782152232,0.19128465003243372,0.19128465003243372,small,3.0,336.4904183797239,336.4904183797239,,D-ICEP BENCHMARK_0.6_60.0_3.0_127.0_None,D-ICEP BENCHMARK,3.0,127.0,60.0,0.6
0.8826099706744869,0.8341346646185356,0.20473813513473899,0.2120404721015247,small,3.0,246.16078027254835,374.9686102994334,,D-ICEP_0.6_60.0_3.0_127.0_None,D-ICEP,3.0,127.0,60.0,0.6
0.8493548387096773,0.8493548387096773,0.48073287378252144,0.48073287378252144,small,2.0,211.07012315756333,211.07012315756333,,D-ICEP BENCHMARK_0.4_60.0_2.0_126.0_None,D-ICEP BENCHMARK,2.0,126.0,60.0,0.4
0.8025433070866143,0.7639828582221267,0.4661706201499764,0.4270876427028135,small,2.0,177.30051006078375,265.4694498586279,,D-ICEP_0.4_60.0_2.0_126.0_None,D-ICEP,2.0,126.0,60.0,0.4
0.9446813791133253,0.9446813791133253,0.4921864656871648,0.4921864656871648,small,4.0,282.51834451839454,282.51834451839454,,D-ICEP BENCHMARK_0.2_60.0_4.0_126.0_None,D-ICEP BENCHMARK,4.0,126.0,60.0,0.2
0.9189455782312924,0.8387731221097363,0.48366296832419753,0.4638583721089253,small,4.0,281.02920943389097,347.4331244473335,,D-ICEP_0.2_60.0_4.0_126.0_None,D-ICEP,4.0,126.0,60.0,0.2
0.8508134920634921,0.8508134920634921,0.4076413075623243,0.4076413075623243,small,2.0,213.58572208347636,213.58572208347636,,D-ICEP BENCHMARK_0.4_30.0_4.0_123.0_None,D-ICEP BENCHMARK,4.0,123.0,30.0,0.4
