avg_util_per_alg,avg_util_true,dataset,demand_capacity_ratio,evac_time_per_alg,evac_time_true,gamma_setting,id,model,number_updates,random_seed,update_interval,variance_factor
0.2583508123084528,0.2583508123084528,small,2.0,216.23373949614063,216.23373949614063,,D-ICEP BENCHMARK_0.2_60.0_2.0_125.0_None,D-ICEP BENCHMARK,2.0,125.0,60.0,0.2
0.2582196338900866,0.26243741079742083,small,2.0,194.7329773818976,261.1368923953401,,D-ICEP_0.2_60.0_2.0_125.0_None,D-ICEP,2.0,125.0,60.0,0.2
0.35963270993666474,0.35963270993666474,small,2.0,171.63695489602193,171.63695489602193,,D-ICEP BENCHMARK_0.6_15.0_8.0_127.0_None,D-ICEP BENCHMARK,8.0,127.0,15.0,0.6
0.279628609932222,0.31313332228652313,small,2.0,149.28627082279874,215.69018583624128,,D-ICEP_0.6_15.0_8.0_127.0_None,D-ICEP,8.0,127.0,15.0,0.6
0.46165787139183057,0.46165787139183057,small,4.0,297.26398705673193,297.26398705673193,,D-ICEP BENCHMARK_0.4_60.0_4.0_125.0_None,D-ICEP BENCHMARK,4.0,125.0,60.0,0.4
0.46839555532124144,0.4563793731403054,small,4.0,271.1281748711337,383.955368321269,,D-ICEP_0.4_60.0_4.0_125.0_None,D-ICEP,4.0,125.0,60.0,0.4
0.19128465003243372,0.19128465003243372,small,3.0,336.4904183797239,336.4904183797239,,D-ICEP BENCHMARK_0.4_15.0_12.0_127.0_None,D-ICEP BENCHMARK,12.0,127.0,15.0,0.4
0.19658359007295717,0.21000170417548086,small,3.0,220.5971466255324,395.8483182356098,,D-ICEP_0.4_15.0_12.0_127.0_None,D-ICEP,12.0,127.0,15.0,0.4
0.4766721178053852,0.4766721178053852,small,3.0,274.9595854138328,274.9595854138328,,D-ICEP BENCHMARK_0.6_60.0_3.0_126.0_None,D-ICEP BENCHMARK,3.0,126.0,60.0,0.6
0.5592931678025741,0.46304865218681845,small,3.0,228.660169095666,341.4873625458014,,D-ICEP_0.6_60.0_3.0_126.0_None,D-ICEP,3.0,126.0,60.0,0.6
0.35963270993666474,0.35963270993666474,small,2.0,171.63695489602193,171.63695489602193,,D-ICEP BENCHMARK_0.2_30.0_4.0_127.0_None,D-ICEP BENCHMARK,4.0,127.0,30.0,0.2
0.346158514356068,0.33677677023959735,small,2.0,159.0335119795564,247.20245177740057,,D-ICEP_0.2_30.0_4.0_127.0_None,D-ICEP,4.0,127.0,30.0,0.2
