avg_util_cap_per_alg,avg_util_cap_true,avg_util_per_alg,avg_util_true,dataset,demand_capacity_ratio,evac_time_per_alg,evac_time_true,gamma_setting,id,model,number_updates,random_seed,update_interval,variance_factor
0.8093641135767119,0.7670993048945804,0.2578615299201107,0.27836708379773706,small,2.0,216.23373949614063,261.9244873742754,3.0,R-ICEP_0.2_60.0_2.0_125.0_3.0,R-ICEP,2.0,125.0,60.0,0.2
0.852332378907182,0.7120240471093188,0.2583508123084529,0.27969389928792876,small,2.0,216.23373949614063,304.4026792939848,0.0,R-ICEP_0.2_60.0_2.0_125.0_0.0,R-ICEP,2.0,125.0,60.0,0.2
0.8584795650543683,0.7685852729947219,0.24774697032682869,0.2677935510454212,small,2.0,216.23373949614063,261.9244873742754,1.0,R-ICEP_0.2_60.0_2.0_125.0_1.0,R-ICEP,2.0,125.0,60.0,0.2
0.816481746599857,0.7649167892474977,0.2583508123084529,0.2779081106387033,small,2.0,216.23373949614063,261.9244873742754,2.0,R-ICEP_0.2_60.0_2.0_125.0_2.0,R-ICEP,2.0,125.0,60.0,0.2
0.8383225795455921,0.8351290312501259,0.33035516174125723,0.3304189027159508,small,2.0,177.30051006078375,211.81591590230693,3.0,R-ICEP_0.6_15.0_8.0_127.0_3.0,R-ICEP,8.0,127.0,15.0,0.6
0.7585304659498209,0.728545095457538,0.32727813731974836,0.34097447693897054,small,2.0,158.47200204452915,224.8759170579717,0.0,R-ICEP_0.6_15.0_8.0_127.0_0.0,R-ICEP,8.0,127.0,15.0,0.6
0.8027857142857144,0.7748354300005305,0.34753559912964493,0.34787223387573085,small,2.0,159.0335119795564,245.33889512303983,1.0,R-ICEP_0.6_15.0_8.0_127.0_1.0,R-ICEP,8.0,127.0,15.0,0.6
0.8197041278931043,0.7777645350162495,0.3308050144143858,0.3602689827047218,small,2.0,177.30051006078375,225.8647750533821,2.0,R-ICEP_0.6_15.0_8.0_127.0_2.0,R-ICEP,8.0,127.0,15.0,0.6
0.9201682825361116,0.9089485121178036,0.4450260100547103,0.4530376475270196,small,4.0,292.75570186530337,338.4464497434381,3.0,R-ICEP_0.4_60.0_4.0_125.0_3.0,R-ICEP,4.0,125.0,60.0,0.4
0.9873192487561446,0.9133842488897099,0.4386560156825955,0.42787646195563633,small,4.0,258.0405759078178,324.44449092126035,0.0,R-ICEP_0.4_60.0_4.0_125.0_0.0,R-ICEP,4.0,125.0,60.0,0.4
0.9393220955614844,0.9093501133106163,0.44096459377620095,0.45409638725737905,small,4.0,262.7652268095284,330.044990364126,1.0,R-ICEP_0.4_60.0_4.0_125.0_1.0,R-ICEP,4.0,125.0,60.0,0.4
0.9300157450076807,0.9133476469766794,0.4351011402761921,0.41269738383461674,small,4.0,274.9595854138328,363.128525211677,2.0,R-ICEP_0.4_60.0_4.0_125.0_2.0,R-ICEP,4.0,125.0,60.0,0.4
0.8267195767195766,0.7840852130325814,0.1895473718077204,0.20283811969418034,small,3.0,378.96861029943335,424.6593581775681,3.0,R-ICEP_0.4_15.0_12.0_127.0_3.0,R-ICEP,12.0,127.0,15.0,0.4
0.9247102766000403,0.8423265976161581,0.22117226768576143,0.21719546338180615,small,3.0,303.458806907788,391.62774670563215,0.0,R-ICEP_0.4_15.0_12.0_127.0_0.0,R-ICEP,12.0,127.0,15.0,0.4
0.8016293796608758,0.7450735845519311,0.19079497807218443,0.20992880431919952,small,3.0,378.96861029943335,424.6593581775681,1.0,R-ICEP_0.4_15.0_12.0_127.0_1.0,R-ICEP,12.0,127.0,15.0,0.4
0.8180050410365372,0.7461450131233597,0.19053065080742843,0.20966447705444358,small,3.0,378.96861029943335,424.6593581775681,2.0,R-ICEP_0.4_15.0_12.0_127.0_2.0,R-ICEP,12.0,127.0,15.0,0.4
0.9064865719910011,0.840764289544452,0.47197621495161357,0.4684179420877542,small,3.0,259.0374575761707,346.66304338120943,3.0,R-ICEP_0.6_60.0_3.0_126.0_3.0,R-ICEP,3.0,126.0,60.0,0.6
0.9179083461341527,0.8200813171203062,0.41791383000540183,0.40407799070028005,small,3.0,220.5971466255324,318.2562219785814,0.0,R-ICEP_0.6_60.0_3.0_126.0_0.0,R-ICEP,3.0,126.0,60.0,0.6
0.9184714410698661,0.8323891805191016,0.4611494764317003,0.43469402535581325,small,3.0,253.6377498384929,341.2633356435316,1.0,R-ICEP_0.6_60.0_3.0_126.0_1.0,R-ICEP,3.0,126.0,60.0,0.6
0.8989419291338583,0.8343901803941174,0.47197621495161357,0.4462389880586911,small,3.0,259.0374575761707,345.3428407196542,2.0,R-ICEP_0.6_60.0_3.0_126.0_2.0,R-ICEP,3.0,126.0,60.0,0.6
0.908444972604231,0.8384263660590814,0.3248295490471401,0.3070506375856611,small,2.0,170.41499010277911,258.5839299006233,3.0,R-ICEP_0.2_30.0_4.0_127.0_3.0,R-ICEP,4.0,127.0,30.0,0.2
0.9033387701537308,0.767286218565111,0.34753559912964493,0.34787223387573085,small,2.0,159.0335119795564,245.33889512303983,0.0,R-ICEP_0.2_30.0_4.0_127.0_0.0,R-ICEP,4.0,127.0,30.0,0.2
