,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
43,12,Apodaca,12,Tunstall Bay Dock,Gibsons Harbor,217.76000000000002,232.76000000000002,232.76000000000002,237.76000000000002,20.0,38,Tunstall Bay
44,13,Apodaca,13,Gibsons Harbor,Tunstall Bay Dock,237.76000000000002,249.76000000000002,249.76000000000002,254.76000000000002,20.0,0,None
45,14,Apodaca,14,Tunstall Bay Dock,Gibsons Harbor,254.76000000000002,269.76,269.76,274.76,20.0,38,Tunstall Bay
46,1,Kinbasket Queen,1,Snug Cove Marina,Tunstall Bay Dock,30.0,59.294117647058826,59.294117647058826,64.29411764705883,17.0,0,None
47,2,Kinbasket Queen,2,Tunstall Bay Dock,Gibsons Harbor,64.29411764705883,84.29411764705883,84.29411764705883,89.29411764705883,15.0,40,Tunstall Bay
48,3,Kinbasket Queen,3,Gibsons Harbor,Bowen Bay Marina,89.29411764705883,105.52941176470588,105.52941176470588,110.52941176470588,15.0,0,None
49,4,Kinbasket Queen,4,Bowen Bay Marina,Gibsons Harbor,110.52941176470588,128.9294117647059,128.9294117647059,133.9294117647059,15.0,40,Bowen Bay
50,5,Kinbasket Queen,5,Gibsons Harbor,Bowen Bay Marina,133.9294117647059,150.16470588235296,150.16470588235296,155.16470588235296,15.0,0,None
51,6,Kinbasket Queen,6,Bowen Bay Marina,Gibsons Harbor,155.16470588235296,173.56470588235297,173.56470588235297,178.56470588235297,15.0,40,Bowen Bay
52,7,Kinbasket Queen,7,Gibsons Harbor,Bowen Bay Marina,178.56470588235297,194.8,194.8,199.8,15.0,0,None
53,8,Kinbasket Queen,8,Bowen Bay Marina,Gibsons Harbor,199.8,218.20000000000002,218.20000000000002,223.20000000000002,15.0,40,Bowen Bay
54,9,Kinbasket Queen,9,Gibsons Harbor,Bowen Bay Marina,223.20000000000002,239.43529411764706,239.43529411764706,244.43529411764706,15.0,0,None
55,10,Kinbasket Queen,10,Bowen Bay Marina,Gibsons Harbor,244.43529411764706,262.83529411764704,262.83529411764704,267.83529411764704,15.0,40,Bowen Bay
56,1,Mercury 1,1,Horseshoe Bay Terminal,Tunstall Bay Dock,20.0,42.8,42.8,45.8,25.0,0,None
57,2,Mercury 1,2,Tunstall Bay Dock,Gibsons Harbor,45.8,60.8,60.8,63.8,20.0,12,Tunstall Bay
58,3,Mercury 1,3,Gibsons Harbor,Bowen Bay Beach,63.8,74.84,74.84,77.84,20.0,0,None
59,4,Mercury 1,4,Bowen Bay Beach,Gibsons Harbor,77.84,91.64,91.64,94.64,20.0,12,Bowen Bay
60,5,Mercury 1,5,Gibsons Harbor,Bowen Bay Beach,94.64,105.68,105.68,108.68,20.0,0,None
61,6,Mercury 1,6,Bowen Bay Beach,Gibsons Harbor,108.68,122.48,122.48,125.48,20.0,12,Bowen Bay
62,7,Mercury 1,7,Gibsons Harbor,Bowen Bay Beach,125.48,136.52,136.52,139.52,20.0,0,None
63,8,Mercury 1,8,Bowen Bay Beach,Gibsons Harbor,139.52,153.32000000000002,153.32000000000002,156.32000000000002,20.0,12,Bowen Bay
64,9,Mercury 1,9,Gibsons Harbor,Bowen Bay Beach,156.32000000000002,167.36,167.36,170.36,20.0,0,None
65,10,Mercury 1,10,Bowen Bay Beach,Gibsons Harbor,170.36,184.16000000000003,184.16000000000003,187.16000000000003,20.0,12,Bowen Bay
66,11,Mercury 1,11,Gibsons Harbor,Tunstall Bay Beach,187.16000000000003,199.16000000000003,199.16000000000003,202.16000000000003,20.0,0,None
67,12,Mercury 1,12,Tunstall Bay Beach,Gibsons Harbor,202.16000000000003,217.16000000000003,217.16000000000003,220.16000000000003,20.0,12,Tunstall Bay
68,13,Mercury 1,13,Gibsons Harbor,Bowen Bay Beach,220.16000000000003,231.20000000000002,231.20000000000002,234.20000000000002,20.0,0,None
69,14,Mercury 1,14,Bowen Bay Beach,Gibsons Harbor,234.20000000000002,248.00000000000003,248.00000000000003,251.00000000000003,20.0,12,Bowen Bay
70,15,Mercury 1,15,Gibsons Harbor,Tunstall Bay Beach,251.00000000000003,263.0,263.0,266.0,20.0,0,None
71,16,Mercury 1,16,Tunstall Bay Beach,Gibsons Harbor,266.0,281.0,281.0,284.0,20.0,12,Tunstall Bay
