avg_util_per_alg,avg_util_true,dataset,demand_capacity_ratio,evac_time_per_alg,evac_time_true,gamma_setting,id,model,number_updates,random_seed,update_interval,variance_factor
0.36452925272340647,0.36452925272340647,small,2.0,177.30051006078375,177.30051006078375,,D-ICEP BENCHMARK_0.2_60.0_3.0_123.0_None,D-ICEP BENCHMARK,3.0,123.0,60.0,0.2
0.35301906059982197,0.35439694177324305,small,2.0,159.0335119795564,266.3053831434835,,D-ICEP_0.2_60.0_3.0_123.0_None,D-ICEP,3.0,123.0,60.0,0.2
0.42359039996663517,0.42359039996663517,small,3.0,236.66776657906823,236.66776657906823,,D-ICEP BENCHMARK_0.6_15.0_16.0_124.0_None,D-ICEP BENCHMARK,16.0,124.0,15.0,0.6
0.40384390669515036,0.3101043798150451,small,3.0,149.28627082279874,339.453526893499,,D-ICEP_0.6_15.0_16.0_124.0_None,D-ICEP,16.0,124.0,15.0,0.6
0.33859895437132387,0.33859895437132387,small,3.0,225.8647750533821,225.8647750533821,,D-ICEP BENCHMARK_0.6_15.0_16.0_123.0_None,D-ICEP BENCHMARK,16.0,123.0,15.0,0.6
0.34942782522782084,0.2326794385685242,small,3.0,149.28627082279874,368.7640661755778,,D-ICEP_0.6_15.0_16.0_123.0_None,D-ICEP,16.0,123.0,15.0,0.6
0.4072158744970366,0.4072158744970366,small,2.0,177.30051006078375,177.30051006078375,,D-ICEP BENCHMARK_0.2_60.0_3.0_124.0_None,D-ICEP BENCHMARK,3.0,124.0,60.0,0.2
0.37392174319191135,0.3719523325232086,small,2.0,170.20885401616798,230.88926190090064,,D-ICEP_0.2_60.0_3.0_124.0_None,D-ICEP,3.0,124.0,60.0,0.2
0.25152977354330647,0.25152977354330647,small,3.0,278.0941008496838,278.0941008496838,,D-ICEP BENCHMARK_0.4_60.0_4.0_127.0_None,D-ICEP BENCHMARK,4.0,127.0,60.0,0.4
0.24366225731281443,0.2433583790938154,small,3.0,246.16078027254835,334.3297200703925,,D-ICEP_0.4_60.0_4.0_127.0_None,D-ICEP,4.0,127.0,60.0,0.4
